Displacement (ccm),Power (hp),Torque (Nm),Dry weight (kg),Wheelbase (mm),Seat height (mm),Category_Custom / cruiser,Category_Naked bike,Category_Sport,Category_Touring
1819.1,115.0,166.0,316.6,2184.0,508.0,1,0,0,0
1819.1,115.0,166.0,316.6,2184.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2184.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2184.0,508.0,1,0,0,0
1819.1,115.0,166.0,258.6,1651.0,838.0,0,0,0,1
1819.1,115.0,166.0,258.6,1651.0,838.0,1,0,0,0
1819.1,115.0,166.0,321.1,2108.0,584.0,1,0,0,0
1819.1,115.0,166.0,322.0,2108.0,597.0,1,0,0,0
1638.8,95.0,151.0,317.5,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,321.1,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,321.1,2108.0,584.0,1,0,0,0
999.0,193.0,112.0,179.0,1430.0,828.0,0,1,0,0
999.0,200.0,112.0,179.0,1430.0,828.0,0,1,0,0
999.0,200.0,112.0,179.0,1430.0,828.0,0,1,0,0
999.0,200.0,112.0,179.0,1430.0,828.0,0,1,0,0
904.0,83.0,81.0,170.0,1380.0,820.0,0,0,1,0
992.0,92.0,85.0,156.0,1425.0,790.0,0,0,1,0
992.0,92.0,90.0,170.0,1425.0,830.0,0,1,0,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,0,1,0
1078.0,98.0,105.0,168.0,1465.0,820.0,0,0,1,0
1078.0,98.0,105.0,168.0,1465.0,820.0,0,0,1,0
1078.0,98.0,105.0,168.0,1465.0,820.0,0,0,1,0
1078.0,98.0,105.0,168.0,1465.0,820.0,0,0,1,0
1198.0,162.0,131.0,175.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,175.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,175.0,1430.0,800.0,0,0,1,0
1198.0,162.0,131.0,175.0,1430.0,800.0,0,0,1,0
1198.0,188.0,142.0,178.7,1435.0,800.0,0,0,1,0
904.0,76.0,75.0,169.0,1370.0,820.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1079.0,95.0,103.0,169.0,1440.0,800.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
992.0,92.0,85.0,156.0,1425.0,790.0,0,0,1,0
1078.0,95.0,103.0,169.0,1425.0,810.0,0,0,1,0
1078.0,95.0,103.0,169.0,1425.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1078.0,98.0,105.0,169.0,1430.0,810.0,0,0,1,0
1079.0,95.0,103.0,189.0,1440.0,810.0,0,0,1,0
1079.0,95.0,103.0,185.0,1440.0,800.0,0,0,1,0
1078.0,95.0,103.0,169.0,1425.0,810.0,0,0,1,0
1078.0,98.0,103.0,169.0,1430.0,810.0,0,0,1,0
1079.0,95.0,103.0,185.0,1440.0,800.0,0,0,1,0
1079.0,95.0,105.0,185.0,1425.0,820.0,0,1,0,0
992.0,92.0,90.0,170.0,1425.0,830.0,0,1,0,0
992.0,92.0,88.3,170.0,1425.0,830.0,0,1,0,0
1078.0,95.0,88.3,170.0,1425.0,830.0,0,1,0,0
1078.0,98.0,88.3,170.0,1425.0,800.0,0,1,0,0
1078.0,98.0,88.3,170.0,1425.0,800.0,0,1,0,0
1078.0,98.0,88.3,170.0,1425.0,800.0,0,1,0,0
1078.0,98.0,105.0,168.0,1430.0,800.0,0,1,0,0
1078.0,98.0,105.0,168.0,1430.0,800.0,0,1,0,0
1078.0,92.0,88.3,170.0,1425.0,820.0,0,1,0,0
1098.0,95.0,103.0,170.0,1435.0,800.0,0,0,1,0
1098.0,95.0,103.0,170.0,1435.0,800.0,0,0,1,0
1098.0,160.0,123.0,170.0,1435.0,800.0,0,0,1,0
1098.0,160.0,123.0,170.0,1435.0,800.0,0,0,1,0
1098.0,160.0,123.0,170.0,1435.0,800.0,0,0,1,0
1098.0,160.0,123.0,174.0,1430.0,800.0,0,0,1,0
1098.0,160.0,118.0,172.0,1430.0,800.0,0,0,1,0
1098.0,160.0,118.0,172.0,1430.0,800.0,0,0,1,0
1198.0,170.0,123.0,177.0,1430.0,800.0,0,0,1,0
1198.0,162.0,130.0,177.0,1430.0,800.0,0,0,1,0
1198.0,162.0,130.0,177.0,1430.0,800.0,0,0,1,0
1198.0,162.0,130.0,177.0,1430.0,800.0,0,0,1,0
1198.0,162.0,130.0,177.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,177.0,1430.0,800.0,0,0,1,0
1198.0,162.0,130.0,175.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,164.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,164.0,1430.0,800.0,0,0,1,0
1198.0,169.0,128.0,174.0,1430.0,800.0,0,0,1,0
1198.0,169.0,128.0,174.0,1430.0,800.0,0,0,1,0
1198.0,169.0,128.0,159.0,1390.0,800.0,0,0,1,0
1198.0,169.0,128.0,174.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,159.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,175.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,164.0,1430.0,800.0,0,0,1,0
1198.0,170.0,127.0,164.0,1430.0,800.0,0,0,1,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,128.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,128.0,177.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,1,0,0
1198.0,162.0,131.0,177.0,1430.0,800.0,0,1,0,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,0,1,0
1198.0,162.0,131.0,177.0,1435.0,800.0,0,0,1,0
